Day,Treatment,Tank,Post-orbital Carapace Length (mm),
1,Iso,i1,3.2,
1,Iso,i2,3.1,
1,Iso,i3,3,
1,Iso,i4,3.4,
1,Iso,i5,3.1,
1,Iso,i6,2.9,
1,Iso,i7,3,
1,Iso,i8,3,
1,Iso,i27,3.3,
1,Iso,i28,2.9,
1,Iso,i29,3,
1,Iso,i30,2.8,
1,Iso,i9,2.7,
1,Iso,i10,3.4,
1,Iso,i33,2.8,
1,Iso,i34,2.7,
1,Iso,i35,2.9,
1,Iso,i36,2.6,
1,Iso,i11,2.8,
1,Iso,i12,2.6,
1,Iso,i13,2.8,
1,Iso,i14,2.9,
1,Iso,i15,3,
1,Iso,i16,2.6,
1,Iso,i17,2.4,
1,Iso,i18,2.9,
1,Iso,i19,3,
1,Iso,i20,3.4,
1,Iso,i21,2.4,
1,Iso,i22,2.9,
1,Iso,i23,3.2,
1,Iso,i24,2.8,
1,Iso,i25,3.1,
1,Iso,i26,2.9,
1,Iso,i31,3.1,
1,Iso,i32,3.4,
1,Iso,i37,2.8,
1,Iso,i38,3.4,
1,Iso,i39,3.5,
1,Iso,i40,3.4,
1,Iso,i41,3.3,
1,Iso,i42,2.8,
1,Iso,i43,3.1,
1,Iso,i44,2.9,
1,Group,cam1,2.8,
1,Group,cam1,3.3,
1,Group,cam1,3.3,
1,Group,cam1,3.1,
1,Group,cam1,3.3,
1,Group,cam1,3.4,
1,Group,cam1,3.1,
1,Group,cam1,3.4,
1,Group,cam1,3.3,
1,Group,cam1,2.8,
1,Group,cam1,3.2,
1,Group,cam2,3.2,
1,Group,cam2,3.1,
1,Group,cam2,3.2,
1,Group,cam2,3.2,
1,Group,cam2,3.1,
1,Group,cam2,2.6,
1,Group,cam2,2.9,
1,Group,cam2,2.8,
1,Group,cam2,3.2,
1,Group,cam2,2.5,
1,Group,cam2,2.7,
1,Group,cam3,3.3,
1,Group,cam3,3.3,
1,Group,cam3,3.4,
1,Group,cam3,3.5,
1,Group,cam3,2.9,
1,Group,cam3,3.3,
1,Group,cam3,3.4,
1,Group,cam3,3.4,
1,Group,cam3,3.4,
1,Group,cam3,3,
1,Group,cam3,2.7,
1,Group,cam4,3.2,
1,Group,cam4,3.1,
1,Group,cam4,3.1,
1,Group,cam4,3.2,
1,Group,cam4,2.7,
1,Group,cam4,3.3,
1,Group,cam4,3.2,
1,Group,cam4,3.4,
1,Group,cam4,3.3,
1,Group,cam4,3.4,
1,Group,cam4,2.7,
15,Iso,i2,4.5,
15,Iso,i5,4.9,
15,Iso,i6,4.7,
15,Iso,i7,3.7,?
15,Iso,i8,4.7,
15,Iso,i27,5,
15,Iso,i29,5,
15,Iso,i30,4.2,
15,Iso,i9,5.2,
15,Iso,i10,5.2,
15,Iso,i33,4.6,
15,Iso,i34,5.2,
15,Iso,i35,4.8,
15,Iso,i36,4,
15,Iso,i11,4.2,
15,Iso,i13,4.8,
15,Iso,i14,5,
15,Iso,i15,4,
15,Iso,i16,3.9,
15,Iso,i17,4,
15,Iso,i18,5.1,
15,Iso,i19,5.2,
15,Iso,i20,3.6,
15,Iso,i21,4.1,
15,Iso,i22,5,
15,Iso,i23,5.3,
15,Iso,i25,4.4,
15,Iso,i26,4.4,
15,Iso,i31,5.4,
15,Iso,i32,5.3,
15,Iso,i37,4.1,
15,Iso,i38,4.6,
15,Iso,i39,5.1,
15,Iso,i41,4.3,
15,Iso,i42,4.5,
15,Iso,i43,4.4,
15,Iso,i44,4.6,
15,Group,cam1,4.4,
15,Group,cam1,4.5,
15,Group,cam1,4.1,
15,Group,cam1,5.2,
15,Group,cam1,5,
15,Group,cam1,4.2,
15,Group,cam2,4.9,
15,Group,cam2,4.3,
15,Group,cam2,4.2,
15,Group,cam2,4.5,
15,Group,cam2,4.2,
15,Group,cam2,5.2,
15,Group,cam3,5.3,
15,Group,cam3,4.6,
15,Group,cam3,4.5,
15,Group,cam3,4.6,
15,Group,cam3,4.9,
15,Group,cam4,5.4,
15,Group,cam4,5,
15,Group,cam4,4.5,
15,Group,cam4,4.2,
15,Group,cam4,5.3,
30,Iso,i2,7.3,
30,Iso,i5,7.8,
30,Iso,i7,6.3,
30,Iso,i8,8.7,
30,Iso,i27,8.2,
30,Iso,i29,8,
30,Iso,i30,5.6,
30,Iso,i9,7.2,
30,Iso,i31,8.1,
30,Iso,i19,8.5,
30,Iso,i21,5.7,
30,Iso,i22,7.7,
30,Iso,i26,6.3,
30,Iso,i25,7.3,
30,Iso,i23,7.4,
30,Group,cam1,8.5,
30,Group,cam1,6.5,
30,Group,cam2,8.7,
30,Iso,i10,6.4,
30,Iso,i32,8,
30,Iso,i33,7.6,
30,Iso,i34,6.1,
30,Iso,i35,7.8,
30,Iso,i36,5.8,
30,Iso,i11,8.8,
30,Iso,i13,6.9,
30,Iso,i14,8.3,
30,Iso,i15,5.9,
30,Iso,i16,6.2,
30,Iso,i17,7,
30,Iso,i18,7.7,
30,Iso,i37,5.8,
30,Iso,i38,6.4,
30,Iso,i39,6,
30,Iso,i41,7.2,
30,Iso,i42,6.3,
30,Iso,i43,7.7,
30,Iso,i44,7.2,
30,Group,cam3,7.1,
30,Group,cam3,7.8,
30,Group,cam3,6.7,
30,Group,cam4,8.9,
