date,time_of_day,camera,count
7/23/2025,AM,1,11
7/23/2025,PM,1,10
7/24/2025,AM,1,10
7/24/2025,PM,1,10
7/25/2025,AM,1,10
7/25/2025,PM,1,10
7/26/2025,AM,1,9
7/26/2025,PM,1,9
7/27/2025,AM,1,8
7/27/2025,PM,1,8
7/28/2025,AM,1,8
7/28/2025,PM,1,8
7/29/2025,AM,1,6
7/29/2025,PM,1,6
7/30/2025,AM,1,6
7/30/2025,PM,1,6
7/31/2025,AM,1,6
7/31/2025,PM,1,6
8/1/2025,AM,1,6
8/1/2025,PM,1,6
8/2/2025,AM,1,6
8/2/2025,PM,1,6
8/3/2025,AM,1,6
8/3/2025,PM,1,6
8/4/2025,AM,1,6
8/4/2025,PM,1,6
8/5/2025,AM,1,6
8/5/2025,PM,1,6
8/6/2025,AM,1,6
8/6/2025,PM,1,5
8/7/2025,AM,1,4
8/7/2025,PM,1,4
8/8/2025,AM,1,4
8/8/2025,PM,1,4
8/9/2025,AM,1,4
8/9/2025,PM,1,4
8/10/2025,AM,1,4
8/10/2025,PM,1,4
8/11/2025,AM,1,4
8/11/2025,PM,1,4
8/12/2025,AM,1,4
8/12/2025,PM,1,4
8/13/2025,AM,1,4
8/13/2025,PM,1,4
8/14/2025,AM,1,3
8/14/2025,PM,1,3
8/15/2025,AM,1,3
8/15/2025,PM,1,3
8/16/2025,AM,1,3
8/16/2025,PM,1,3
8/17/2025,AM,1,3
8/17/2025,PM,1,3
8/18/2025,AM,1,3
8/18/2025,PM,1,3
8/19/2025,AM,1,3
8/19/2025,PM,1,3
8/20/2025,AM,1,3
8/20/2025,PM,1,3
8/21/2025,AM,1,2
8/21/2025,PM,1,2
7/23/2025,AM,2,11
7/23/2025,PM,2,11
7/24/2025,AM,2,10
7/24/2025,PM,2,10
7/25/2025,AM,2,10
7/25/2025,PM,2,10
7/26/2025,AM,2,9
7/26/2025,PM,2,9
7/27/2025,AM,2,8
7/27/2025,PM,2,8
7/28/2025,AM,2,7
7/28/2025,PM,2,7
7/29/2025,AM,2,7
7/29/2025,PM,2,7
7/30/2025,AM,2,7
7/30/2025,PM,2,7
7/31/2025,AM,2,7
7/31/2025,PM,2,7
8/1/2025,AM,2,6
8/1/2025,PM,2,6
8/2/2025,AM,2,6
8/2/2025,PM,2,6
8/3/2025,AM,2,6
8/3/2025,PM,2,6
8/4/2025,AM,2,6
8/4/2025,PM,2,6
8/5/2025,AM,2,6
8/5/2025,PM,2,6
8/6/2025,AM,2,6
8/6/2025,PM,2,6
8/7/2025,AM,2,5
8/7/2025,PM,2,4
8/8/2025,AM,2,4
8/8/2025,PM,2,4
8/9/2025,AM,2,4
8/9/2025,PM,2,4
8/10/2025,AM,2,4
8/10/2025,PM,2,4
8/11/2025,AM,2,4
8/11/2025,PM,2,4
8/12/2025,AM,2,4
8/12/2025,PM,2,4
8/13/2025,AM,2,4
8/13/2025,PM,2,4
8/14/2025,AM,2,4
8/14/2025,PM,2,3
8/15/2025,AM,2,3
8/15/2025,PM,2,3
8/16/2025,AM,2,3
8/16/2025,PM,2,3
8/17/2025,AM,2,3
8/17/2025,PM,2,3
8/18/2025,AM,2,3
8/18/2025,PM,2,2
8/19/2025,AM,2,2
8/19/2025,PM,2,2
8/20/2025,AM,2,2
8/20/2025,PM,2,2
8/21/2025,AM,2,1
8/21/2025,PM,2,1
7/23/2025,AM,3,11
7/23/2025,PM,3,11
7/24/2025,AM,3,10
7/24/2025,PM,3,10
7/25/2025,AM,3,10
7/25/2025,PM,3,10
7/26/2025,AM,3,10
7/26/2025,PM,3,9
7/27/2025,AM,3,8
7/27/2025,PM,3,8
7/28/2025,AM,3,8
7/28/2025,PM,3,8
7/29/2025,AM,3,8
7/29/2025,PM,3,8
7/30/2025,AM,3,8
7/30/2025,PM,3,8
7/31/2025,AM,3,8
7/31/2025,PM,3,8
8/1/2025,AM,3,7
8/1/2025,PM,3,7
8/2/2025,AM,3,7
8/2/2025,PM,3,6
8/3/2025,AM,3,6
