Date,Time,Day,Morts I,Morts 1,Morts 2,Morts 3,Morts 4
23/07/2025,AM,0,0,0,0,0,0
23/07/2025,PM,0.5,1,1,0,0,0
24/07/2025,AM,1,1,0,1,1,1
24/07/2025,PM,1.5,1,0,0,0,0
25/07/2025,AM,2,0,0,0,0,0
25/07/2025,PM,2.5,0,0,0,0,0
26/07/2025,AM,3,0,1,1,0,0
26/07/2025,PM,3.5,1,0,0,1,0
27/07/2025,AM,4,0,1,1,1,1
27/07/2025,PM,4.5,0,0,0,0,1
28/07/2025,AM,5,1,0,1,0,0
28/07/2025,PM,5.5,0,0,0,0,1
29/07/2025,AM,6,1,2,0,0,0
29/07/2025,PM,6.5,1,0,0,0,0
30/07/2025,AM,7,0,0,0,0,0
30/07/2025,PM,7.5,0,0,0,0,0
31/07/2025,AM,8,0,0,0,0,0
31/07/2025,PM,8.5,0,0,0,0,0
45665,AM,9,0,0,1,1,0
45665,PM,9.5,0,0,0,0,0
45696,AM,10,0,0,0,0,0
45696,PM,10.5,0,0,0,1,0
45724,AM,11,0,0,0,0,0
45724,PM,11.5,0,0,0,0,0
45755,AM,12,0,0,0,0,0
45755,PM,12.5,0,0,0,1,0
45785,AM,13,0,0,0,0,0
45785,PM,13.5,0,0,0,0,1
45816,AM,14,0,0,0,0,1
45816,PM,14.5,1,1,0,1,0
45846,AM,15,0,1,1,0,0
45846,PM,15.5,0,0,1,0,0
45877,AM,16,0,0,0,0,0
45877,PM,16.5,0,0,0,0,0
45908,AM,17,0,0,0,0,0
45908,PM,17.5,0,0,0,0,0
45938,AM,18,0,0,0,0,0
45938,PM,18.5,0,0,0,0,0
45969,AM,19,0,0,0,0,1
45969,PM,19.5,0,0,0,0,0
45999,AM,20,0,0,0,0,0
45999,PM,20.5,0,0,0,0,1
13/08/2025,AM,21,0,0,0,0,1
13/08/2025,PM,21.5,0,0,0,0,0
14/08/2025,AM,22,0,1,0,0,0
14/08/2025,PM,22.5,1,0,1,0,0
15/08/2025,AM,23,0,0,0,0,0
15/08/2025,PM,23.5,0,0,0,0,0
16/08/2025,AM,24,0,0,0,0,0
16/08/2025,PM,24.5,0,0,0,0,0
17/08/2025,AM,25,0,0,0,0,0
17/08/2025,PM,25.5,0,0,0,0,0
18/08/2025,AM,26,0,0,0,0,0
18/08/2025,PM,26.5,0,0,1,0,1
19/08/2025,AM,27,0,0,0,0,0
19/08/2025,PM,27.5,0,0,0,0,0
20/08/2025,AM,28,0,0,0,0,0
20/08/2025,PM,28.5,0,0,0,0,0
21/08/2025,AM,29,0,1,1,1,0
21/08/2025,PM,29.5,0,0,0,0,0
22/08/2025,AM,30,0,0,0,0,0
