date,video_code,notes
23-Jul,72311,Not full length vid
23-Jul,72321,Not full length vid
23-Jul,72331,Not full length vid
23-Jul,72333,Not full length vid
24-Jul,72411,
24-Jul,72422,
24-Jul,72432,
24-Jul,72442,
25-Jul,72511,
25-Jul,72532,
25-Jul,72541,
25-Jul,72542,
26-Jul,72621,
26-Jul,72641,
27-Jul,72711,
27-Jul,72712,
27-Jul,72721,
27-Jul,72732,
27-Jul,72742,
28-Jul,72811,
28-Jul,72821,
28-Jul,72822,
28-Jul,72831,
28-Jul,72832,
28-Jul,72841,
29-Jul,72911,
29-Jul,72912,
29-Jul,72921,
29-Jul,72931,
29-Jul,72941,
30-Jul,73021,
30-Jul,73032,
31-Jul,73141,
31-Jul,73142,
1-Aug,80112,
1-Aug,80122,
1-Aug,80131,
1-Aug,80132,
1-Aug,80141,
1-Aug,80142,
2-Aug,80211,
2-Aug,80212,
2-Aug,80222,
2-Aug,80232,
2-Aug,80241,
2-Aug,80242,
3-Aug,80311,
3-Aug,80312,
3-Aug,80321,
3-Aug,80322,
3-Aug,80331,
3-Aug,80332,
3-Aug,80342,
4-Aug,80411,
4-Aug,80412,
4-Aug,80422,
4-Aug,80432,
4-Aug,80442,
5-Aug,80522,
5-Aug,80532,
6-Aug,80632,
6-Aug,80641,
6-Aug,80642,
7-Aug,80712,
7-Aug,80722,
7-Aug,80731,
7-Aug,80732,
7-Aug,80741,
7-Aug,80742,
8-Aug,80811,
8-Aug,80812,
8-Aug,80822,
8-Aug,80831,
8-Aug,80832,
8-Aug,80841,
8-Aug,80842,
9-Aug,80911,
9-Aug,80912,
9-Aug,80921,
9-Aug,80922,
9-Aug,80931,
9-Aug,80932,
9-Aug,80941,
10-Aug,81011,
10-Aug,81012,
10-Aug,81021,
10-Aug,81031,
11-Aug,81111,
11-Aug,81112,
11-Aug,81122,
11-Aug,81141,
11-Aug,81142,
12-Aug,81221,
12-Aug,81222,
12-Aug,81232,
13-Aug,81311,
13-Aug,81321,
13-Aug,81322,
13-Aug,81331,
13-Aug,81332,
13-Aug,81341,
13-Aug,81342,
14-Aug,81411,
14-Aug,81412,
14-Aug,81421,
14-Aug,81431,
14-Aug,81432,
14-Aug,81441,
14-Aug,81442,
15-Aug,81511,
15-Aug,81512,
15-Aug,81521,
15-Aug,81522,
15-Aug,81531,
15-Aug,81532,
15-Aug,81541,
16-Aug,81611,
16-Aug,81612,
16-Aug,81621,
16-Aug,81622,
16-Aug,81631,
16-Aug,81632,
16-Aug,81641,
16-Aug,81642,
17-Aug,81711,
17-Aug,81712,
17-Aug,81721,
17-Aug,81731,
17-Aug,81732,
17-Aug,81741,
17-Aug,81742,
18-Aug,81812,
18-Aug,81822,
18-Aug,81832,
18-Aug,81842,
19-Aug,81912,
19-Aug,81922,
19-Aug,81241,
19-Aug,81942,
20-Aug,82011,
20-Aug,82021,
20-Aug,82031,
20-Aug,82041,
20-Aug,82042,
21-Aug,82111,
21-Aug,82112,
21-Aug,82121,
21-Aug,82122,
21-Aug,82132,
21-Aug,82141,
21-Aug,82142,
