video_code,date,day_number,camera,time_of_day,timestamp,event_type,mort_cause,mort_moult_stage,moult_success,notes
80111,1-Aug-25,10,1,pm,23:53,Test,NA,NA,NA,Cam 1 8:00 pm time adjust test
80121,1-Aug-25,10,2,pm,23:53,Test,NA,NA,NA,Cam 2 8:00 pm time adjust test
80131,1-Aug-25,10,3,pm,23:53,Test,NA,NA,NA,Cam 3 8:00 pm time adjust test post 4 min adjust
80141,1-Aug-25,10,4,pm,23:54,Test,NA,NA,NA,Cam 4 8:00 pm time adjust test
72731,27-Jul-25,5,3,pm,23:47,Test,NA,NA,NA,Cam 3 8:00 pm time adjust test pre 4 min adjust
72311,23-Jul-25,1,1,am,0:27,Feed,NA,NA,NA,
72312,23-Jul-25,1,1,am,17:07,Moult,NA,NA,no,"Animal partially stuck in exuvium, mostly just tail. Possibly would have eventually freed itself if not for attack by other animal"
72312,23-Jul-25,1,1,am,17:27,Mortality,Moult Failure + Cannibalism,Moulting,NA,Animal was not fully dead after attack and continued to move weakly until eventually losing mobility and dying
72312,23-Jul-25,1,1,pm,19:25,Feed,NA,NA,NA,
72313,23-Jul-25,1,1,pm,1:52,Moult,NA,NA,yes,
72321,23-Jul-25,1,2,am,0:23,Feed,NA,NA,NA,
72322,23-Jul-25,1,2,pm,19:26,Feed,NA,NA,NA,
72322,23-Jul-25,1,2,pm,20:25,Moult,NA,NA,yes,
72323,23-Jul-25,1,2,pm,1:00,Moult,NA,NA,yes,
72323,23-Jul-25,1,2,pm,14:44,Moult,NA,NA,yes,
72323,23-Jul-25,1,2,pm,15:40,Mortality,Cannibalism,Post-moult,NA,Animal attacked several times by multiple others before dead
72331,23-Jul-25,1,3,am,0:23,Feed,NA,NA,NA,
72332,23-Jul-25,1,3,pm,19:35,Feed,NA,NA,NA,
72332,23-Jul-25,1,3,pm,23:36,Moult,NA,NA,cannibalism,
72332,23-Jul-25,1,3,pm,23:36,Mortality,Cannibalism,Moulting,NA,
72341,23-Jul-25,1,4,am,0:22,Feed,NA,NA,NA,
72341,23-Jul-25,1,4,am,2:28,Moult,NA,NA,yes,
72342,23-Jul-25,1,4,am,14:56,Moult,NA,NA,yes,
72342,23-Jul-25,1,4,pm,19:49,Feed,NA,NA,NA,
72342,23-Jul-25,1,4,pm,21:15,Moult,NA,NA,yes,
72343,23-Jul-25,1,4,pm,3:11,Moult,NA,NA,no,
72343,23-Jul-25,1,4,pm,8:00,Mortality,Moult Failure,Moulting,NA,"animal not really secondarily cannibalized after dying, despite being approached and even touched by other animals"
72411,24-Jul-25,2,1,am,0:45,Feed,NA,NA,NA,
72411,24-Jul-25,2,1,pm,24:22:00,Feed,NA,NA,NA,
72412,24-Jul-25,2,1,pm,5:54,Moult,NA,NA,yes,
