video_code,date,month,day,camera,video_number,start,stop,notes
72311,23-Jul,7,23,1,1,8:02,10:46,"General note: some videos are labelled with other numbers (21/22, 7/8) instead of 1 and 2. All videos are in chronological order within each folder by number, even if the numbers do not start at 1. This is the result of multiple days being reccorded on one SD card"
72312,23-Jul,7,23,1,2,10:46,23:15,
72313,23-Jul,7,23,1,3,23:15,8:00,
72411,24-Jul,7,24,1,1,8:00,20:29,
72412,24-Jul,7,24,1,2,20:29,8:02,
72511,25-Jul,7,25,1,1,8:02,20:31,
72512,25-Jul,7,25,1,2,20:31,8:00,
72611,26-Jul,7,26,1,1,8:01,20:30,
72612,26-Jul,7,26,1,2,20:30,8:06,
72711,27-Jul,7,27,1,1,8:06,20:35,
72712,27-Jul,7,27,1,2,20:35,8:00,
72811,28-Jul,7,28,1,1,8:01,20:30,
72812,28-Jul,7,28,1,2,20:30,8:01,
72911,29-Jul,7,29,1,1,8:02,20:31,
72912,29-Jul,7,29,1,2,20:31,8:04,
73011,30-Jul,7,30,1,1,8:05,20:33,
73012,30-Jul,7,30,1,2,20:33,8:03,
73111,31-Jul,7,31,1,1,8:03,20:31,
73112,31-Jul,7,31,1,2,20:31,8:04,
80111,1-Aug,8,1,1,1,8:04,20:33,
80112,1-Aug,8,1,1,2,20:33,8:01,
80211,2-Aug,8,2,1,1,8:02,20:35,
80212,2-Aug,8,2,1,2,20:35,8:01,
80311,3-Aug,8,3,1,1,8:01,20:30,
80312,3-Aug,8,3,1,2,20:30,8:01,
80411,4-Aug,8,4,1,1,8:01,20:30,
80412,4-Aug,8,4,1,2,20:30,8:03,
80511,5-Aug,8,5,1,1,8:03,20:32,
80512,5-Aug,8,5,1,2,20:32,8:03,
80611,6-Aug,8,6,1,1,8:03,20:32,
80612,6-Aug,8,6,1,2,20:32,8:01,
80711,7-Aug,8,7,1,1,8:01,20:30,
80712,7-Aug,8,7,1,2,20:30,8:01,
80811,8-Aug,8,8,1,1,8:01,20:30,
80812,8-Aug,8,8,1,2,20:30,8:00,
80911,9-Aug,8,9,1,1,8:00,20:29,
80912,9-Aug,8,9,1,2,20:29,8:00,
81011,10-Aug,8,10,1,1,8:00,20:29,
81012,10-Aug,8,10,1,2,20:29,8:01,
81111,11-Aug,8,11,1,1,8:02,20:31,
81112,11-Aug,8,11,1,2,20:31,8:00,
81211,12-Aug,8,12,1,1,8:01,20:29,
81212,12-Aug,8,12,1,2,20:29,8:02,
81311,13-Aug,8,13,1,1,8:02,20:31,
81312,13-Aug,8,13,1,2,20:31,8:01,
81411,14-Aug,8,14,1,1,8:02,20:31,
81412,14-Aug,8,14,1,2,20:31,8:00,
81511,15-Aug,8,15,1,1,8:00,20:29,
81512,15-Aug,8,15,1,2,20:29,8:00,
81611,16-Aug,8,16,1,1,8:00,20:29,
81612,16-Aug,8,16,1,2,20:29,8:00,
81711,17-Aug,8,17,1,1,8:00,20:29,
81712,17-Aug,8,17,1,2,20:29,8:01,
81811,18-Aug,8,18,1,1,8:01,20:30,
81812,18-Aug,8,18,1,2,20:30,8:01,
81911,19-Aug,8,19,1,1,8:01,20:29,
81912,19-Aug,8,19,1,2,20:29,8:04,
82011,20-Aug,8,20,1,1,8:04,20:33,
82012,20-Aug,8,20,1,2,20:33,8:01,
82111,21-Aug,8,21,1,1,8:01,20:30,
82112,21-Aug,8,21,1,2,20:30,8:00,
72321,23-Jul,7,23,2,1,8:03,10:45,
72322,23-Jul,7,23,2,2,10:45,23:14,
72323,23-Jul,7,23,2,3,23:14,8:01,
72421,24-Jul,7,24,2,1,8:01,20:30,
72422,24-Jul,7,24,2,2,20:30,8:02,
72521,25-Jul,7,25,2,1,8:02,20:31,
72522,25-Jul,7,25,2,2,20:31,8:02,
72621,26-Jul,7,26,2,1,8:03,20:32,
72622,26-Jul,7,26,2,2,20:32,8:06,
72721,27-Jul,7,27,2,1,8:07,20:35,
72722,27-Jul,7,27,2,2,20:35,8:01,
72821,28-Jul,7,28,2,1,8:02,20:31,
72822,28-Jul,7,28,2,2,20:31,8:02,
72921,29-Jul,7,29,2,1,8:03,20:32,
72922,29-Jul,7,29,2,2,20:32,8:05,
73021,30-Jul,7,30,2,1,8:06,20:35,
73022,30-Jul,7,30,2,2,20:35,8:03,
73121,31-Jul,7,31,2,1,8:03,20:32,
